,MethodA,MethodB,ReferenceCount
0,org.mybatis.jpetstore.domain.Account.getAddress1,org.mybatis.jpetstore.domain.Account.address1,1
0,org.mybatis.jpetstore.domain.Account.getAddress2,org.mybatis.jpetstore.domain.Account.address2,1
0,org.mybatis.jpetstore.domain.Account.getBannerName,org.mybatis.jpetstore.domain.Account.bannerName,1
0,org.mybatis.jpetstore.domain.Account.getCity,org.mybatis.jpetstore.domain.Account.city,1
0,org.mybatis.jpetstore.domain.Account.getCountry,org.mybatis.jpetstore.domain.Account.country,1
0,org.mybatis.jpetstore.domain.Account.getEmail,org.mybatis.jpetstore.domain.Account.email,1
0,org.mybatis.jpetstore.domain.Account.getFavouriteCategoryId,org.mybatis.jpetstore.domain.Account.favouriteCategoryId,1
0,org.mybatis.jpetstore.domain.Account.getFirstName,org.mybatis.jpetstore.domain.Account.firstName,1
0,org.mybatis.jpetstore.domain.Account.getLanguagePreference,org.mybatis.jpetstore.domain.Account.languagePreference,1
0,org.mybatis.jpetstore.domain.Account.getLastName,org.mybatis.jpetstore.domain.Account.lastName,1
0,org.mybatis.jpetstore.domain.Account.getPassword,org.mybatis.jpetstore.domain.Account.password,1
0,org.mybatis.jpetstore.domain.Account.getPhone,org.mybatis.jpetstore.domain.Account.phone,1
0,org.mybatis.jpetstore.domain.Account.getState,org.mybatis.jpetstore.domain.Account.state,1
0,org.mybatis.jpetstore.domain.Account.getStatus,org.mybatis.jpetstore.domain.Account.status,1
0,org.mybatis.jpetstore.domain.Account.getUsername,org.mybatis.jpetstore.domain.Account.username,1
0,org.mybatis.jpetstore.domain.Account.getZip,org.mybatis.jpetstore.domain.Account.zip,1
0,org.mybatis.jpetstore.domain.Account.isBannerOption,org.mybatis.jpetstore.domain.Account.bannerOption,1
0,org.mybatis.jpetstore.domain.Account.isListOption,org.mybatis.jpetstore.domain.Account.listOption,1
0,org.mybatis.jpetstore.domain.Account.setAddress1,org.mybatis.jpetstore.domain.Account.address1,1
0,org.mybatis.jpetstore.domain.Account.setAddress2,org.mybatis.jpetstore.domain.Account.address2,1
0,org.mybatis.jpetstore.domain.Account.setBannerName,org.mybatis.jpetstore.domain.Account.bannerName,1
0,org.mybatis.jpetstore.domain.Account.setBannerOption,org.mybatis.jpetstore.domain.Account.bannerOption,1
0,org.mybatis.jpetstore.domain.Account.setCity,org.mybatis.jpetstore.domain.Account.city,1
0,org.mybatis.jpetstore.domain.Account.setCountry,org.mybatis.jpetstore.domain.Account.country,1
0,org.mybatis.jpetstore.domain.Account.setEmail,org.mybatis.jpetstore.domain.Account.email,1
0,org.mybatis.jpetstore.domain.Account.setFavouriteCategoryId,org.mybatis.jpetstore.domain.Account.favouriteCategoryId,1
0,org.mybatis.jpetstore.domain.Account.setFirstName,org.mybatis.jpetstore.domain.Account.firstName,1
0,org.mybatis.jpetstore.domain.Account.setLanguagePreference,org.mybatis.jpetstore.domain.Account.languagePreference,1
0,org.mybatis.jpetstore.domain.Account.setLastName,org.mybatis.jpetstore.domain.Account.lastName,1
0,org.mybatis.jpetstore.domain.Account.setListOption,org.mybatis.jpetstore.domain.Account.listOption,1
0,org.mybatis.jpetstore.domain.Account.setPassword,org.mybatis.jpetstore.domain.Account.password,1
0,org.mybatis.jpetstore.domain.Account.setPhone,org.mybatis.jpetstore.domain.Account.phone,1
0,org.mybatis.jpetstore.domain.Account.setState,org.mybatis.jpetstore.domain.Account.state,1
0,org.mybatis.jpetstore.domain.Account.setStatus,org.mybatis.jpetstore.domain.Account.status,1
0,org.mybatis.jpetstore.domain.Account.setUsername,org.mybatis.jpetstore.domain.Account.username,1
0,org.mybatis.jpetstore.domain.Account.setZip,org.mybatis.jpetstore.domain.Account.zip,1
0,org.mybatis.jpetstore.domain.Cart.Cart,org.mybatis.jpetstore.domain.Cart.itemList,1
0,org.mybatis.jpetstore.domain.Cart.Cart,org.mybatis.jpetstore.domain.Cart.itemMap,1
0,org.mybatis.jpetstore.domain.Cart.addItem,org.mybatis.jpetstore.domain.Cart.itemList,1
0,org.mybatis.jpetstore.domain.Cart.addItem,org.mybatis.jpetstore.domain.Cart.itemMap,1
0,org.mybatis.jpetstore.domain.Cart.addItem,org.mybatis.jpetstore.domain.CartItem.CartItem,1
0,org.mybatis.jpetstore.domain.Cart.addItem,org.mybatis.jpetstore.domain.CartItem.incrementQuantity,1
0,org.mybatis.jpetstore.domain.Cart.addItem,org.mybatis.jpetstore.domain.CartItem.setInStock,1
0,org.mybatis.jpetstore.domain.Cart.addItem,org.mybatis.jpetstore.domain.CartItem.setItem,1
0,org.mybatis.jpetstore.domain.Cart.addItem,org.mybatis.jpetstore.domain.CartItem.setQuantity,1
0,org.mybatis.jpetstore.domain.Cart.addItem,org.mybatis.jpetstore.domain.Item.getItemId,1
0,org.mybatis.jpetstore.domain.Cart.containsItemId,org.mybatis.jpetstore.domain.Cart.itemMap,1
0,org.mybatis.jpetstore.domain.Cart.getAllCartItems,org.mybatis.jpetstore.domain.Cart.itemList,1
0,org.mybatis.jpetstore.domain.Cart.getCartItemList,org.mybatis.jpetstore.domain.Cart.itemList,1
0,org.mybatis.jpetstore.domain.Cart.getCartItems,org.mybatis.jpetstore.domain.Cart.itemList,1
0,org.mybatis.jpetstore.domain.Cart.getNumberOfItems,org.mybatis.jpetstore.domain.Cart.itemList,1
0,org.mybatis.jpetstore.domain.Cart.getSubTotal,org.mybatis.jpetstore.domain.Cart.itemList,1
0,org.mybatis.jpetstore.domain.Cart.incrementQuantityByItemId,org.mybatis.jpetstore.domain.Cart.itemMap,1
0,org.mybatis.jpetstore.domain.Cart.incrementQuantityByItemId,org.mybatis.jpetstore.domain.CartItem.incrementQuantity,1
0,org.mybatis.jpetstore.domain.Cart.lambda$getSubTotal$0,org.mybatis.jpetstore.domain.CartItem.getItem,1
0,org.mybatis.jpetstore.domain.Cart.lambda$getSubTotal$0,org.mybatis.jpetstore.domain.CartItem.getQuantity,1
0,org.mybatis.jpetstore.domain.Cart.lambda$getSubTotal$0,org.mybatis.jpetstore.domain.Item.getListPrice,1
0,org.mybatis.jpetstore.domain.Cart.removeItemById,org.mybatis.jpetstore.domain.Cart.itemList,1
0,org.mybatis.jpetstore.domain.Cart.removeItemById,org.mybatis.jpetstore.domain.Cart.itemMap,1
0,org.mybatis.jpetstore.domain.Cart.removeItemById,org.mybatis.jpetstore.domain.CartItem.getItem,1
0,org.mybatis.jpetstore.domain.Cart.setQuantityByItemId,org.mybatis.jpetstore.domain.Cart.itemMap,1
0,org.mybatis.jpetstore.domain.Cart.setQuantityByItemId,org.mybatis.jpetstore.domain.CartItem.setQuantity,1
0,org.mybatis.jpetstore.domain.CartItem.calculateTotal,org.mybatis.jpetstore.domain.CartItem.item,1
0,org.mybatis.jpetstore.domain.CartItem.calculateTotal,org.mybatis.jpetstore.domain.CartItem.total,1
0,org.mybatis.jpetstore.domain.CartItem.getItem,org.mybatis.jpetstore.domain.CartItem.item,1
0,org.mybatis.jpetstore.domain.CartItem.getQuantity,org.mybatis.jpetstore.domain.CartItem.quantity,1
0,org.mybatis.jpetstore.domain.CartItem.getTotal,org.mybatis.jpetstore.domain.CartItem.total,1
0,org.mybatis.jpetstore.domain.CartItem.incrementQuantity,org.mybatis.jpetstore.domain.CartItem.calculateTotal,1
0,org.mybatis.jpetstore.domain.CartItem.incrementQuantity,org.mybatis.jpetstore.domain.CartItem.quantity,1
0,org.mybatis.jpetstore.domain.CartItem.isInStock,org.mybatis.jpetstore.domain.CartItem.inStock,1
0,org.mybatis.jpetstore.domain.CartItem.lambda$calculateTotal$0,org.mybatis.jpetstore.domain.CartItem.quantity,1
0,org.mybatis.jpetstore.domain.CartItem.setInStock,org.mybatis.jpetstore.domain.CartItem.inStock,1
0,org.mybatis.jpetstore.domain.CartItem.setItem,org.mybatis.jpetstore.domain.CartItem.calculateTotal,1
0,org.mybatis.jpetstore.domain.CartItem.setItem,org.mybatis.jpetstore.domain.CartItem.item,1
0,org.mybatis.jpetstore.domain.CartItem.setQuantity,org.mybatis.jpetstore.domain.CartItem.calculateTotal,1
0,org.mybatis.jpetstore.domain.CartItem.setQuantity,org.mybatis.jpetstore.domain.CartItem.quantity,1
0,org.mybatis.jpetstore.domain.Category.getCategoryId,org.mybatis.jpetstore.domain.Category.categoryId,1
0,org.mybatis.jpetstore.domain.Category.getDescription,org.mybatis.jpetstore.domain.Category.description,1
0,org.mybatis.jpetstore.domain.Category.getName,org.mybatis.jpetstore.domain.Category.name,1
0,org.mybatis.jpetstore.domain.Category.setCategoryId,org.mybatis.jpetstore.domain.Category.categoryId,1
0,org.mybatis.jpetstore.domain.Category.setDescription,org.mybatis.jpetstore.domain.Category.description,1
0,org.mybatis.jpetstore.domain.Category.setName,org.mybatis.jpetstore.domain.Category.name,1
0,org.mybatis.jpetstore.domain.Category.toString,org.mybatis.jpetstore.domain.Category.getCategoryId,1
0,org.mybatis.jpetstore.domain.Item.getAttribute1,org.mybatis.jpetstore.domain.Item.attribute1,1
0,org.mybatis.jpetstore.domain.Item.getAttribute2,org.mybatis.jpetstore.domain.Item.attribute2,1
0,org.mybatis.jpetstore.domain.Item.getAttribute3,org.mybatis.jpetstore.domain.Item.attribute3,1
0,org.mybatis.jpetstore.domain.Item.getAttribute4,org.mybatis.jpetstore.domain.Item.attribute4,1
0,org.mybatis.jpetstore.domain.Item.getAttribute5,org.mybatis.jpetstore.domain.Item.attribute5,1
0,org.mybatis.jpetstore.domain.Item.getItemId,org.mybatis.jpetstore.domain.Item.itemId,1
0,org.mybatis.jpetstore.domain.Item.getListPrice,org.mybatis.jpetstore.domain.Item.listPrice,1
0,org.mybatis.jpetstore.domain.Item.getProduct,org.mybatis.jpetstore.domain.Item.product,1
0,org.mybatis.jpetstore.domain.Item.getQuantity,org.mybatis.jpetstore.domain.Item.quantity,1
0,org.mybatis.jpetstore.domain.Item.getStatus,org.mybatis.jpetstore.domain.Item.status,1
0,org.mybatis.jpetstore.domain.Item.getSupplierId,org.mybatis.jpetstore.domain.Item.supplierId,1
0,org.mybatis.jpetstore.domain.Item.getUnitCost,org.mybatis.jpetstore.domain.Item.unitCost,1
0,org.mybatis.jpetstore.domain.Item.setAttribute1,org.mybatis.jpetstore.domain.Item.attribute1,1
0,org.mybatis.jpetstore.domain.Item.setAttribute2,org.mybatis.jpetstore.domain.Item.attribute2,1
0,org.mybatis.jpetstore.domain.Item.setAttribute3,org.mybatis.jpetstore.domain.Item.attribute3,1
0,org.mybatis.jpetstore.domain.Item.setAttribute4,org.mybatis.jpetstore.domain.Item.attribute4,1
0,org.mybatis.jpetstore.domain.Item.setAttribute5,org.mybatis.jpetstore.domain.Item.attribute5,1
0,org.mybatis.jpetstore.domain.Item.setItemId,org.mybatis.jpetstore.domain.Item.itemId,1
0,org.mybatis.jpetstore.domain.Item.setListPrice,org.mybatis.jpetstore.domain.Item.listPrice,1
0,org.mybatis.jpetstore.domain.Item.setProduct,org.mybatis.jpetstore.domain.Item.product,1
0,org.mybatis.jpetstore.domain.Item.setQuantity,org.mybatis.jpetstore.domain.Item.quantity,1
0,org.mybatis.jpetstore.domain.Item.setStatus,org.mybatis.jpetstore.domain.Item.status,1
0,org.mybatis.jpetstore.domain.Item.setSupplierId,org.mybatis.jpetstore.domain.Item.supplierId,1
0,org.mybatis.jpetstore.domain.Item.setUnitCost,org.mybatis.jpetstore.domain.Item.unitCost,1
0,org.mybatis.jpetstore.domain.Item.toString,org.mybatis.jpetstore.domain.Item.getItemId,1
0,org.mybatis.jpetstore.domain.Item.toString,org.mybatis.jpetstore.domain.Item.getProduct,1
0,org.mybatis.jpetstore.domain.Item.toString,org.mybatis.jpetstore.domain.Product.getProductId,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.CartItem.getItem,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.CartItem.getQuantity,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.Item.getItemId,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.Item.getListPrice,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.LineItem.calculateTotal,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.LineItem.item,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.LineItem.itemId,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.LineItem.lineNumber,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.LineItem.quantity,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.LineItem.unitPrice,1
0,org.mybatis.jpetstore.domain.LineItem.calculateTotal,org.mybatis.jpetstore.domain.LineItem.item,1
0,org.mybatis.jpetstore.domain.LineItem.calculateTotal,org.mybatis.jpetstore.domain.LineItem.total,1
0,org.mybatis.jpetstore.domain.LineItem.getItem,org.mybatis.jpetstore.domain.LineItem.item,1
0,org.mybatis.jpetstore.domain.LineItem.getItemId,org.mybatis.jpetstore.domain.LineItem.itemId,1
0,org.mybatis.jpetstore.domain.LineItem.getLineNumber,org.mybatis.jpetstore.domain.LineItem.lineNumber,1
0,org.mybatis.jpetstore.domain.LineItem.getOrderId,org.mybatis.jpetstore.domain.LineItem.orderId,1
0,org.mybatis.jpetstore.domain.LineItem.getQuantity,org.mybatis.jpetstore.domain.LineItem.quantity,1
0,org.mybatis.jpetstore.domain.LineItem.getTotal,org.mybatis.jpetstore.domain.LineItem.total,1
0,org.mybatis.jpetstore.domain.LineItem.getUnitPrice,org.mybatis.jpetstore.domain.LineItem.unitPrice,1
0,org.mybatis.jpetstore.domain.LineItem.lambda$calculateTotal$0,org.mybatis.jpetstore.domain.LineItem.quantity,1
0,org.mybatis.jpetstore.domain.LineItem.setItem,org.mybatis.jpetstore.domain.LineItem.calculateTotal,1
0,org.mybatis.jpetstore.domain.LineItem.setItem,org.mybatis.jpetstore.domain.LineItem.item,1
0,org.mybatis.jpetstore.domain.LineItem.setItemId,org.mybatis.jpetstore.domain.LineItem.itemId,1
0,org.mybatis.jpetstore.domain.LineItem.setLineNumber,org.mybatis.jpetstore.domain.LineItem.lineNumber,1
0,org.mybatis.jpetstore.domain.LineItem.setOrderId,org.mybatis.jpetstore.domain.LineItem.orderId,1
0,org.mybatis.jpetstore.domain.LineItem.setQuantity,org.mybatis.jpetstore.domain.LineItem.calculateTotal,1
0,org.mybatis.jpetstore.domain.LineItem.setQuantity,org.mybatis.jpetstore.domain.LineItem.quantity,1
0,org.mybatis.jpetstore.domain.LineItem.setUnitPrice,org.mybatis.jpetstore.domain.LineItem.unitPrice,1
0,org.mybatis.jpetstore.domain.Order.Order,org.mybatis.jpetstore.domain.Order.lineItems,1
0,org.mybatis.jpetstore.domain.Order.addLineItem,org.mybatis.jpetstore.domain.LineItem.LineItem,1
0,org.mybatis.jpetstore.domain.Order.addLineItem,org.mybatis.jpetstore.domain.Order.lineItems,2
0,org.mybatis.jpetstore.domain.Order.getBillAddress1,org.mybatis.jpetstore.domain.Order.billAddress1,1
0,org.mybatis.jpetstore.domain.Order.getBillAddress2,org.mybatis.jpetstore.domain.Order.billAddress2,1
0,org.mybatis.jpetstore.domain.Order.getBillCity,org.mybatis.jpetstore.domain.Order.billCity,1
0,org.mybatis.jpetstore.domain.Order.getBillCountry,org.mybatis.jpetstore.domain.Order.billCountry,1
0,org.mybatis.jpetstore.domain.Order.getBillState,org.mybatis.jpetstore.domain.Order.billState,1
0,org.mybatis.jpetstore.domain.Order.getBillToFirstName,org.mybatis.jpetstore.domain.Order.billToFirstName,1
0,org.mybatis.jpetstore.domain.Order.getBillToLastName,org.mybatis.jpetstore.domain.Order.billToLastName,1
0,org.mybatis.jpetstore.domain.Order.getBillZip,org.mybatis.jpetstore.domain.Order.billZip,1
0,org.mybatis.jpetstore.domain.Order.getCardType,org.mybatis.jpetstore.domain.Order.cardType,1
0,org.mybatis.jpetstore.domain.Order.getCourier,org.mybatis.jpetstore.domain.Order.courier,1
0,org.mybatis.jpetstore.domain.Order.getCreditCard,org.mybatis.jpetstore.domain.Order.creditCard,1
0,org.mybatis.jpetstore.domain.Order.getExpiryDate,org.mybatis.jpetstore.domain.Order.expiryDate,1
0,org.mybatis.jpetstore.domain.Order.getLineItems,org.mybatis.jpetstore.domain.Order.lineItems,1
0,org.mybatis.jpetstore.domain.Order.getLocale,org.mybatis.jpetstore.domain.Order.locale,1
0,org.mybatis.jpetstore.domain.Order.getOrderDate,org.mybatis.jpetstore.domain.Order.orderDate,1
0,org.mybatis.jpetstore.domain.Order.getOrderId,org.mybatis.jpetstore.domain.Order.orderId,1
0,org.mybatis.jpetstore.domain.Order.getShipAddress1,org.mybatis.jpetstore.domain.Order.shipAddress1,1
0,org.mybatis.jpetstore.domain.Order.getShipAddress2,org.mybatis.jpetstore.domain.Order.shipAddress2,1
0,org.mybatis.jpetstore.domain.Order.getShipCity,org.mybatis.jpetstore.domain.Order.shipCity,1
0,org.mybatis.jpetstore.domain.Order.getShipCountry,org.mybatis.jpetstore.domain.Order.shipCountry,1
0,org.mybatis.jpetstore.domain.Order.getShipState,org.mybatis.jpetstore.domain.Order.shipState,1
0,org.mybatis.jpetstore.domain.Order.getShipToFirstName,org.mybatis.jpetstore.domain.Order.shipToFirstName,1
0,org.mybatis.jpetstore.domain.Order.getShipToLastName,org.mybatis.jpetstore.domain.Order.shipToLastName,1
0,org.mybatis.jpetstore.domain.Order.getShipZip,org.mybatis.jpetstore.domain.Order.shipZip,1
0,org.mybatis.jpetstore.domain.Order.getStatus,org.mybatis.jpetstore.domain.Order.status,1
0,org.mybatis.jpetstore.domain.Order.getTotalPrice,org.mybatis.jpetstore.domain.Order.totalPrice,1
0,org.mybatis.jpetstore.domain.Order.getUsername,org.mybatis.jpetstore.domain.Order.username,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getAddress1,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getAddress2,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getCity,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getCountry,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getFirstName,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getLastName,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getState,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getUsername,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getZip,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Cart.getAllCartItems,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Cart.getSubTotal,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.addLineItem,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billAddress1,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billAddress2,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billCity,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billCountry,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billState,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billToFirstName,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billToLastName,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.billZip,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.cardType,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.courier,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.creditCard,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.expiryDate,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.locale,1
0,org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Order.orderDate,1
